date,home,away,spread,homeWL,awayWL
1449028800000,ATL,TOR,-10,0.6,0.6111111111111112
1449028800000,NYK,PHI,12,0.4444444444444444,0.05263157894736842
1449028800000,LAC,IND,-12,0.5555555555555556,0.6875
1449028800000,CHO,GSW,-17,0.5882352941176471,1
1449028800000,DET,PHO,5,0.5,0.4444444444444444
1449028800000,WAS,LAL,-4,0.4666666666666667,0.11764705882352941
1449028800000,CHI,DEN,9,0.6666666666666666,0.3333333333333333
1449028800000,HOU,NOP,7,0.3888888888888889,0.2222222222222222
1449028800000,SAS,MIL,25,0.7777777777777778,0.3888888888888889
1449115200000,MIA,OKC,2,0.625,0.6111111111111112
1449115200000,SAC,BOS,-17,0.3684210526315789,0.5555555555555556
1449115200000,UTA,ORL,-9,0.5,0.5555555555555556
1449115200000,TOR,DEN,-1,0.631578947368421,0.3157894736842105
1449115200000,MEM,SAS,-20,0.5789473684210527,0.7894736842105263
1449115200000,POR,IND,12,0.3684210526315789,0.7058823529411765
1449201600000,DET,MIL,7,0.5263157894736842,0.3684210526315789
1449201600000,WAS,PHO,3,0.4375,0.42105263157894735
1449201600000,DAL,HOU,-4,0.5789473684210527,0.42105263157894735
1449201600000,NYK,BRK,17,0.47368421052631576,0.2777777777777778
1449201600000,NOP,CLE,6,0.21052631578947367,0.7222222222222222
1449201600000,ATL,LAL,13,0.5714285714285714,0.16666666666666666
1449288000000,MIL,NYK,15,0.35,0.5
1449288000000,HOU,SAC,7,0.45,0.35
1449288000000,PHI,DEN,-3,0.05,0.35
1449288000000,SAS,BOS,3,0.8,0.5789473684210527
1449288000000,LAC,ORL,2,0.5263157894736842,0.5789473684210527
1449288000000,MIA,CLE,15,0.6470588235294118,0.6842105263157895
1449288000000,UTA,IND,3,0.47058823529411764,0.6666666666666666
1449288000000,TOR,GSW,-3,0.6,1
1449288000000,CHI,CHO,-6,0.6875,0.5555555555555556
1449288000000,MIN,POR,-6,0.4444444444444444,0.4
1449374400000,MEM,PHO,2,0.55,0.4
1449374400000,DET,LAL,20,0.55,0.15789473684210525
1449374400000,OKC,SAC,3,0.5789473684210527,0.3333333333333333
1449374400000,WAS,DAL,-12,0.47058823529411764,0.55
1449374400000,BRK,GSW,-16,0.2631578947368421,1
1449460800000,TOR,LAL,9,0.5714285714285714,0.15
1449460800000,MIL,POR,2,0.38095238095238093,0.42857142857142855
1449460800000,CHI,PHO,-2,0.6470588235294118,0.38095238095238093
1449460800000,NYK,DAL,-7,0.47619047619047616,0.5714285714285714
1449460800000,MIN,LAC,-4,0.42105263157894735,0.55
1449460800000,PHI,SAS,-51,0.047619047619047616,0.8095238095238095
1449460800000,NOP,BOS,-18,0.25,0.55
1449460800000,CHO,DET,20,0.5789473684210527,0.5714285714285714
1449460800000,MIA,WAS,-11,0.6666666666666666,0.4444444444444444
1449547200000,DEN,ORL,-11,0.38095238095238093,0.55
1449547200000,MEM,OKC,-37,0.5714285714285714,0.6
1449547200000,SAC,UTA,8,0.3181818181818182,0.5
1449547200000,BRK,HOU,5,0.25,0.47619047619047616
1449547200000,CLE,POR,5,0.65,0.4090909090909091
1449547200000,IND,GSW,-8,0.631578947368421,1
1449633600000,MIN,LAL,1,0.4,0.14285714285714285
1449633600000,DET,MEM,-1,0.5454545454545454,0.5454545454545454
1449633600000,UTA,NYK,21,0.47368421052631576,0.45454545454545453
1449633600000,PHO,ORL,3,0.4090909090909091,0.5714285714285714
1449633600000,DAL,ATL,-3,0.5909090909090909,0.5909090909090909
1449633600000,TOR,SAS,3,0.5909090909090909,0.8181818181818182
1449633600000,WAS,HOU,-6,0.47368421052631576,0.45454545454545453
1449633600000,MIL,LAC,-14,0.4090909090909091,0.5714285714285714
1449633600000,CHO,MIA,18,0.6,0.631578947368421
1449633600000,BOS,CHI,5,0.5714285714285714,0.6111111111111112
1449720000000,BRK,PHI,9,0.2857142857142857,0.045454545454545456
1449720000000,CHI,LAC,3,0.5789473684210527,0.5909090909090909
1449720000000,OKC,ATL,13,0.6190476190476191,0.6086956521739131
1449720000000,SAC,NYK,2,0.34782608695652173,0.43478260869565216
1449806400000,BOS,GSW,-5,0.5909090909090909,1
1449806400000,PHI,DET,-12,0.043478260869565216,0.5217391304347826
1449806400000,NOP,WAS,2,0.23809523809523808,0.45
1449806400000,UTA,OKC,-4,0.5,0.6363636363636364
1449806400000,ORL,CLE,-35,0.5454545454545454,0.6666666666666666
1449806400000,PHO,POR,-10,0.43478260869565216,0.391304347826087
1449806400000,TOR,MIL,7,0.6086956521739131,0.391304347826087
1449806400000,IND,MIA,13,0.6,0.6
1449806400000,MEM,CHO,-24,0.5652173913043478,0.6190476190476191
1449806400000,SAS,LAL,22,0.782608695652174,0.13636363636363635
1449806400000,DEN,MIN,3,0.36363636363636365,0.42857142857142855
1449892800000,POR,NYK,-2,0.4166666666666667,0.4166666666666667
1449892800000,CHI,NOP,4,0.6,0.2727272727272727
1449892800000,CHO,BOS,-5,0.6363636363636364,0.5652173913043478
1449892800000,MIL,GSW,13,0.375,1
1449892800000,BRK,LAC,-5,0.3181818181818182,0.5652173913043478
1449892800000,DET,IND,22,0.5416666666666666,0.6190476190476191
1449892800000,HOU,LAL,29,0.4782608695652174,0.13043478260869565
1449892800000,ATL,SAS,-25,0.5833333333333334,0.7916666666666666
1449892800000,DAL,WAS,-3,0.5652173913043478,0.42857142857142855
1449979200000,PHO,MIN,7,0.4166666666666667,0.4090909090909091
1449979200000,OKC,UTA,6,0.6521739130434783,0.47619047619047616
1449979200000,TOR,PHI,20,0.625,0.041666666666666664
1449979200000,MIA,MEM,3,0.5714285714285714,0.5416666666666666
1450065600000,POR,NOP,4,0.4,0.2608695652173913
1450065600000,DAL,PHO,10,0.5416666666666666,0.44
1450065600000,MEM,WAS,17,0.52,0.45454545454545453
1450065600000,IND,TOR,16,0.5909090909090909,0.64
1450065600000,ATL,MIA,-12,0.56,0.5909090909090909
1450065600000,BRK,ORL,-23,0.30434782608695654,0.5217391304347826
1450065600000,SAS,UTA,37,0.8,0.45454545454545453
1450065600000,DET,LAC,-2,0.56,0.5833333333333334
1450065600000,DEN,HOU,6,0.391304347826087,0.5
1450065600000,CHI,PHI,19,0.6190476190476191,0.04
1450152000000,MIN,DEN,-12,0.391304347826087,0.4166666666666667
